epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1031.69,0.81504,0.726,0.9343,0.8512,0.87346,0.93442,0.77186,0.65741,0.57356,0.87098,0.000198091,0.000198091,0.000198091
85,1043.11,0.82962,0.71507,0.93877,0.87662,0.86499,0.93528,0.77353,0.64409,0.55772,0.86744,0.000187092,0.000187092,0.000187092
86,1054.46,0.81882,0.69814,0.9373,0.83777,0.89101,0.93229,0.77151,0.64681,0.56895,0.86691,0.000176094,0.000176094,0.000176094
87,1065.94,0.80965,0.70452,0.9315,0.8485,0.88435,0.93489,0.77443,0.64701,0.56752,0.86564,0.000165095,0.000165095,0.000165095
88,1077.53,0.81587,0.69827,0.93534,0.88642,0.86114,0.93692,0.77773,0.64276,0.54905,0.86672,0.000154096,0.000154096,0.000154096
89,1089.11,0.79764,0.69895,0.92989,0.87348,0.87812,0.93777,0.78148,0.64064,0.55102,0.86524,0.000143097,0.000143097,0.000143097
90,1100.55,0.81314,0.69195,0.9296,0.8805,0.87637,0.94228,0.78582,0.6381,0.54514,0.8644,0.000132098,0.000132098,0.000132098
91,1125.73,0.76874,0.66146,0.91158,0.84582,0.8888,0.93516,0.77263,0.65484,0.57575,0.8686,0.000121099,0.000121099,0.000121099
92,1137.34,0.74022,0.62936,0.91171,0.87382,0.87823,0.93996,0.78277,0.6447,0.56674,0.86556,0.0001101,0.0001101,0.0001101
93,1148.84,0.74907,0.63103,0.90411,0.86974,0.8822,0.9422,0.78479,0.64212,0.55602,0.86426,9.91012e-05,9.91012e-05,9.91012e-05
94,1160.06,0.74738,0.62526,0.90232,0.8707,0.88395,0.94184,0.78637,0.63861,0.54765,0.86409,8.81023e-05,8.81023e-05,8.81023e-05
95,1171.32,0.74485,0.61219,0.90818,0.87018,0.89113,0.94473,0.78915,0.63374,0.53616,0.86206,7.71034e-05,7.71034e-05,7.71034e-05
96,1182.62,0.74815,0.60265,0.9006,0.87242,0.8902,0.9451,0.78677,0.63419,0.5317,0.86247,6.61045e-05,6.61045e-05,6.61045e-05
97,1193.8,0.73405,0.5841,0.89937,0.86803,0.89514,0.94563,0.78913,0.63733,0.53403,0.86313,5.51056e-05,5.51056e-05,5.51056e-05
98,1204.9,0.73001,0.58629,0.89997,0.87262,0.89593,0.94568,0.79072,0.63256,0.52857,0.86183,4.41067e-05,4.41067e-05,4.41067e-05
99,1216.08,0.73958,0.59029,0.90413,0.88472,0.888,0.94676,0.79168,0.6336,0.52447,0.862,3.31078e-05,3.31078e-05,3.31078e-05
100,1227.22,0.72471,0.56035,0.89242,0.88056,0.89442,0.94608,0.79217,0.63092,0.52693,0.86182,2.21089e-05,2.21089e-05,2.21089e-05
